
# (#) can be liquidated in # days. Please cast your vote.;# (#) can be liquidated in # days. Please cast your vote.
# (#) can be liquidated in # days;# (#) can be liquidated in # days
# (#) can employ # for a daily wage of #. Please cast your vote.;# (#) can employ # for a daily wage of #. Please cast your vote.
# (#) can employ # with a daily wage of #. Please cast your vote.;# (#) can employ # with a daily wage of #. Please cast your vote.
# (#) can employ you for a daily wage of #.;# (#) can employ you for a daily wage of #.
# (#) will sell all positions in # days. Please cast your vote.;# (#) will sell all positions in # days. Please cast your vote.
# (#) will sell all positions in # days;# (#) will sell all positions in # days
# initiated a Cash Out Poll for # (#);# initiated a Cash Out Poll for # (#)
#: Your order was filled: # # # shares of # (#) at #.;#: Your order was filled: # # # shares of # (#) at #.
Already a bank;Already a bank
At least # cash needed, only # is available;At least # cash needed, only # is available
Banking license does not exist;Banking license does not exist
Bond does not exist;Bond does not exist
Bond repayment;Bond repayment
Bonds issued, don't forget to create a sell order! Order accepted.;Bonds issued, don't forget to create a sell order! Order accepted.
Bonds issued, don't forget to create a sell order!;Bonds issued, don't forget to create a sell order!
Buy # shares of # (#);Buy # shares of # (#)
CEO employed;CEO employed
Cannot cash out: #;Cannot cash out: #
Cannot employ CEO: #;Cannot employ CEO: #
Cannot liquidate: #;Cannot liquidate: #
Cash amount needs to be greater than #;Cash amount needs to be greater than #
Cash deposit of at least # is needed;Cash deposit of at least # is needed
Chat deleted;Chat deleted
Chat does not exist;Chat does not exist
Chat is read-only;Chat is read-only
Company cannot be liquidated, as long as it does not consist of cash and/or own shares only;Company cannot be liquidated, as long as it does not consist of cash and/or own shares only
Company does not exist;Company does not exist
Company does not have enough (uncommitted) cash to pay its CEO, only # available;Company does not have enough (uncommitted) cash to pay its CEO, only # available
Company has been trading within the last # days;Company has been trading within the last # days
Company has no logo;Company has no logo
Company has to be at least # days old;Company has to be at least # days old
Company id is unknown;Company id is unknown
Company liquidated;Company liquidated
Company name is invalid, try # instead;Company name is invalid, try # instead
Company with name already exists;Company with name already exists
Complaint does not exist;Complaint does not exist
Congratulations! You fulfilled the cash deposit requirements. Your company is now listed at the stock exchange by the security identifier #.;Congratulations! You fulfilled the cash deposit requirements. Your company is now listed at the stock exchange by the ASIN #.
Content cannot be empty;Content cannot be empty
Current cash out poll is not yet expired;Current cash out poll is not yet expired
Current liquidation poll is not yet expired;Current liquidation poll is not yet expired
Delete Chat;Delete Chat
Email address already exists;Email address already exists
Employ CEO poll initiated;Employ CEO poll initiated
Evaluation has now started. Thanks for your help!;Evaluation has now started. Thanks for your help!
Exceeds company net cash (#);Exceeds company net cash (#)
Exceeds the maximum of central bank loans, only # can still be granted;Exceeds the maximum of central bank loans, only # can still be granted
Execute;Execute
Face value has to be at least #;Face value has to be at least #
First payment is not yet possible;First payment is not yet possible
Founding a new company called #;Founding a new company called #
Hot Securities;Hot Securities
Interest rate cannot be greater than #%;Interest rate cannot be greater than #%
Interest rate needs to be greater than #%;Interest rate needs to be greater than #%
Invalid logo;Invalid logo
Limit order needs price;Limit order needs price
Liquidation of # (#);Liquidation of # (#)
Listing does not exist;Listing does not exist
Listing is already expired;Listing is already expired
Logo URL is blocked because of complaints;Logo URL is blocked because of complaints
Logo URL is not valid;Logo URL is not valid
Logo height exceeds # pixels;Logo height exceeds # pixels
Logo size exceeds # bytes;Logo size exceeds # bytes
Logo width exceeds # pixels;Logo width exceeds # pixels
Market order must not have price;Market order must not have price
Market reset succesful;Market reset succesful
Market sells are placed;Market sells are placed
Maturity date cannot be more than # days in the future;Maturity date cannot be more than # days in the future
Maturity date has to be at least #h in the future;Maturity date has to be at least #h in the future
Message deleted;Message deleted
Message does not exist;Message does not exist
Missing Company;Missing Company
More central bank reserve needed for this volume, only # can still be granted;More central bank reserve needed for this volume, only # can still be granted
Name is empty;Name is empty
Newest Securities;Newest Securities
Next payment is not yet possible;Next payment is not yet possible
Nice try;Nice try
Not a valid email address;Not a valid email address
Not allowed to see this message;Not allowed to see this message
Not enough private cash, only # is available;Not enough private cash, only # is available
Not enough shares in sell orders in order book to fill buy market order, only # are in sells;Not enough shares in sell orders in order book to fill buy market order, only # are in sells
Not enough shares, only # are held;Not enough shares, only # are held
Not enough uncommitted cash in bank account, only # is available;Not enough uncommitted cash in bank account, only # is available
Not the sender of this message;Not the sender of this message
Not yet possible;Not yet possible
Notifications marked as read;Notifications marked as read
Notifications;Notifications
Number of shares must be at least #;Number of shares must be at least #
Only #% voted in favor for cashing out the company, #% are needed;Only #% voted in favor for cashing out the company, #% are needed
Only #% voted in favor for employing you, #% are needed;Only #% voted in favor for employing you, #% are needed
Only #% voted in favor for the liquidation, #% are needed;Only #% voted in favor for the liquidation, #% are needed
Only a scale of # allowed for stock orders, try # instead;Only a scale of # allowed for stock orders, try # instead
Only a scale of # allowed, try # instead;Only a scale of # allowed, try # instead
Only banks can issue system bonds;Only banks can issue system bonds
Only banks can trade repurchase agreements;Only banks can trade repurchase agreements
