
# (#) can be liquidated in # days. Please cast your vote.;# (#) kann erst in # Tagen liquidiert werden. Bitte stimmen Sie ab.
# (#) can be liquidated in # days;# (#) kann erst in # Tagen liquidiert werden
# (#) can employ # for a daily wage of #. Please cast your vote.;# (#) hat die Möglichkeit # für ein Gehalt von # einzustellen. Bitte stimmen Sie ab.
# (#) can employ # with a daily wage of #. Please cast your vote.;# (#) hat die Möglichkeit # für ein Gehalt von # einzustellen. Bitte stimmen Sie ab.
# (#) can employ you for a daily wage of #.;# (#) kann Sie für ein Gehalt von # einstellen.
# (#) will sell all positions in # days. Please cast your vote.;# (#) wird alle Positionen in # Tagen verkaufen. Bitte stimmen Sie ab.
# (#) will sell all positions in # days;# (#) wird alle Depotpositionen liquidieren
# initiated a Cash Out Poll for # (#);# hat den Depotabverkauf für # beantragt
#: Your order was filled: # # # shares of # (#) at #.;#: Ihre Order wurde ausgeführt: # # # Anteile von # (#) für #.
Already a bank;Sie sind bereits eine Bank
At least # cash needed, only # is available;Es werden mindestens # an Bargeld benötigt, Sie verfügen nur über #
Banking license does not exist;Banklizenz existiert nicht
Bond does not exist;Anleihe existiert nicht
Bond repayment;Anleihen-Rückzahlung
Bonds issued, don't forget to create a sell order! Order accepted.;Anleihen begeben, vergessen Sie nicht eine Verkafusorder zu erstellen! Order akzeptiert.
Bonds issued, don't forget to create a sell order!;Anleihen begeben, vergessen Sie nicht eine Verkafusorder zu erstellen!
Buy # shares of # (#);Kauf # Aktien von # (#)
CEO employed;CEO wurde eingestellt
Cannot cash out: #;Kann das Depot nicht abverkaufen: #
Cannot employ CEO: #;CEO # kann nicht angestellt werden
Cannot liquidate: #;Kann nicht liquidiert werden: #
Cash Out poll initiated;
Cash amount needs to be greater than #;Geldbetrag muss größer als # sein
Cash deposit of at least # is needed;Es wird eine Bareinlage von mindestens # benötigt
Chat created;Neuer Chat wurde erstellt
Chat deleted;Chat wurde gelöscht
Chat does not exist;Chat existiert nicht
Chat is read-only;Die Unterhaltung ist schreibgeschützt
Company cannot be liquidated, as long as it does not consist of cash and/or own shares only;Das Unternehmen kann nicht liquidiert werden, solange es nicht nur aus Bargeld und eignen Aktien besteht
Company does not exist;Unternehmen existiert nicht
Company does not have enough (uncommitted) cash to pay its CEO, only # available;Die Gesellschaft hat nicht genügend (ungebundene) Barmittel um den CEO zu bezahlen, es sind nur # verfügbar
Company has been trading within the last # days;Die Gesellschaft hat in den letzten # Tagen Aktivität gezeigt
Company has no logo;Das Unternehmen hat kein Logo
Company has to be at least # days old;Das Unternemen muss mindesten # Tage alt sein
Company id is unknown;Unternehmens-ID ist nicht bekannt
Company liquidated;Unternehmen wurde aufgelöst
Company name is invalid, try # instead;Der Name des Unternehmens ist nicht zulässig, versuchen Sie #
Company with name already exists;Ein Unternehmen mit diesem Name ist bereits registriert
Complaint does not exist;Diese Beschwerde existiert nicht
Congratulations! You fulfilled the cash deposit requirements. Your company is now listed at the stock exchange by the security identifier #.;Herzlichen Glückwunsch! Sie haben die Einlageanforderung erfüllt. Ihr Unternehmen ist nun an der Börse mit der ASIN # gelistet.
Content cannot be empty;Inhalt kann nicht leer sein
Copy Order;Order kopieren
Current cash out poll is not yet expired;Die aktuelle Abstimmung über den Depotabverkauf ist noch nicht abgeschlossen
Current liquidation poll is not yet expired;Die aktuelle Abstimmung über die Liquidation ist noch nicht abgelaufen
Delete Chat;Chat löschen
Delete Order;Order streichen
Email address already exists;Die E-Mail wird bereits verwendet
Employ CEO poll initiated;CEO-Anstellungsabstimmung initiiert
Employ new CEO or change the employment agreement of current CEO;Neuen CEO einstellen oder Änderungen am Vertrag des aktuellen CEO
Evaluation has now started. Thanks for your help!;Der Prüfprozess wurde eingeleitet. Vielen Dank für Ihre Hilfe!
Exceeds company net cash (#);Übersteigt den Nettobargeldbestand (Net Cash) der Gesellschaft
Exceeds the maximum of central bank loans, only # can still be granted;Maximales Zentralbank-Kreditvolumen überschritten, es können nur noch # gewährt werden
Execute;Ausführen
Face value has to be at least #;Der Nennwert muss mindestes # betragen
First payment is not yet possible;Die erste Zahlung ist noch nicht möglich
Founding a new company called #;Gesellschaft namens # gegründet
Hot Securities;Trendige Wertpapiere
Interest rate cannot be greater than #%;Der Zinssatz darf nicht größer als #% sein
Interest rate needs to be greater than #%;Der Zinssatz muss größer als #% sein
Invalid logo;Das Logo ist ungültig
Limit order needs price;Limit-Orders benötigen einen Preis
Liquidation of # (#);Liquidation von # (#)
Liquidation poll initiated;
Listing does not exist;Das Listing existiert nicht
Listing is already expired;Das Listing ist abgelaufen
Logo URL is blocked because of complaints;Diese Logo-URL wird aufgrund von Beschwerden blockiert
Logo URL is not valid;Die Logo URL ist nicht zulässig
Logo height exceeds # pixels;Das Logo ist # Pixel höher als erlaubt
Logo size exceeds # bytes;Das Logo ist # Bytes größer als erlaubt
Logo width exceeds # pixels;Das Logo ist # Pixel breiter als erlaubt
Market order must not have price;Market-Orders dürfen keinen Preis haben
Market reset succesful;Zurücksetzung des Marktes erfolgreich
Market sells are placed;Market-Sells wurden platziert
Maturity date cannot be more than # days in the future;Die Anleihe darf eine Laufzeit von # Tagen nicht überschreiten
Maturity date has to be at least #h in the future;Die Anleihe darf eine Laufzeit von # Stunden nicht unterschreiten
Message deleted;Nachricht gelöscht
Message does not exist;Nachricht existiert nicht
Missing Company;Unternehmen nicht gefunden
Missing company or daily wage;Unternehmen fehlt oder Gehalt fehlt
Missing poll id, number of voices or voting type;
More central bank reserve needed for this volume, only # can still be granted;Für dieses Volumen werden mehr Zentralbankreserven benötigt, maximal können noch # aufgenommen werden
Name is empty;Name ist leer
Newest Securities;Neue Wertpapiere
Next payment is not yet possible;Die nächste Zahlung ist noch nicht möglich
Nice try;Netter Versuch
